lat,lon,temp,precip,lcclass,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
70,-150,-9.95435,13.8164,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-149.5,-9.80452,13.1994,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-149,-9.90472,12.5982,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-148.5,-10.3049,12.0542,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-148,-10.2219,11.5869,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-147.5,-10.2887,11.1938,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-147,-10.5637,10.9426,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-146.5,-10.8724,10.7499,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-146,-11.0556,10.7242,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-145.5,-11.3304,10.8577,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-144.5,-11.822,11.6261,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-144,-12.089,12.2198,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-143.5,-12.197,12.2465,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70,-143,-12.0553,11.8644,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-162.5,-9.45818,14.5446,"0","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-162,-9.54996,14.4437,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-161.5,-9.78316,14.4089,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-161,-9.87522,14.3165,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-160.5,-9.99247,14.2398,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-160,-10.1092,14.1635,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-159.5,-10.2843,14.1619,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-159,-10.4767,14.1932,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-158.5,-10.5854,14.1503,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-158,-10.6855,14.1982,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-157.5,-10.7519,14.2307,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-157,-10.8095,14.3057,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-156.5,-10.8839,14.4886,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-156,-10.758,14.5897,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-155.5,-10.6903,14.8162,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-155,-10.6055,15.0754,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-154.5,-10.4463,15.3441,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-154,-10.3954,15.6289,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-153.5,-10.3363,15.9046,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-153,-10.1858,16.1052,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-152.5,-10.0027,16.1801,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-152,-9.80274,16.0886,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-151.5,-9.53593,15.8049,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-151,-9.45339,15.4288,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-150.5,-9.78754,14.9855,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-150,-9.67057,14.3508,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-149.5,-9.67132,13.683,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-149,-9.77207,13.0563,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-148.5,-10.1219,12.4709,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-148,-10.1471,11.9445,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-147.5,-10.3476,11.5179,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-147,-10.7226,11.1995,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-146.5,-11.0729,10.9483,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-146,-11.4646,10.8137,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-145.5,-11.7812,10.8634,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-145,-12.3557,10.9626,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-144.5,-12.0387,11.5911,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-144,-12.1222,12.1348,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-143.5,-12.1476,12.2455,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-143,-12.1556,11.9303,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-142.5,-11.7556,11.8908,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.8333,-142,-11.5224,11.9017,"0","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-163,-9.16639,15.0878,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-162.5,-9.27488,14.9872,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-162,-9.3911,14.8951,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-161.5,-9.64175,14.9017,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-161,-9.79165,14.8255,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-160.5,-9.9755,14.8069,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
69.6667,-160,-10.1511,14.7721,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
